bubble_job_id,bubble_title,bubble_created,ashby_ref
1768306734822x675449727333433300,TC (Global & High-Velocity) - Immediate Start,2026-01-13,6dc865ee-f8b5-4a88-8cca-cd1390a9cf52
1768306565902x724842074782040000,Senior Tech TA (US East Coast Hours) - Immediate Start,2026-01-13,4d56606d-625b-4794-9545-36c1dec6bd66
1769763000086x563212577333575700,Talent Acquisition Partner (Internal Recruitment),2026-01-30,29fa9991-63e9-4b6b-8544-3c796ad5766d
1770201984452x484427760080519200,TAP (German speaker),2026-02-04,615be379-7e1f-4fc3-bf09-54c021e3c406
1770287224379x341584373642166300,Senior Tech TA (EMEA/CET Hours) - Immediate Start,2026-02-05,4d56606d-625b-4794-9545-36c1dec6bd66
1770631916672x291420469021638660,DH - Executive Search Talent Partner (APAC focus),2026-02-09,f43853b5-ee06-4d34-afd9-5ee034b0fd4e
1770728747086x464603093874769900,Talent Acquisition Partner (Enterprise Sales) - Immediate Start,2026-02-10,c79fb7e1-a527-496f-9ab8-375da1eeab46
1771257786943x368258027107123200,Talent Sourcer (German speaker) - Feb '26,2026-02-16,8548333e-881e-4f5b-8f88-04251b0a8dc5
1771584578545x240061323429806080,Talent Acquisition Partner (German speaker) - Feb '26,2026-02-20,615be379-7e1f-4fc3-bf09-54c021e3c406
1774438158210x293659973868847100,Talent Acquisition Partner (Deeptech & Scientific Hiring) - Immediate Start,2026-03-25,990cff4e-be85-4ecf-b2d4-f6b61f9e8aed
1774438224107x261502970568376320,(Generalist) Talent Acquisition Partner - Immediate Start,2026-03-25,508648c3-c1dd-4c07-ab46-ae4554e50913
1774613979789x325982928044294140,Tech Talent Acquisition Partner (APAC),2026-03-27,039dca36-4bbe-4ad4-b0c4-a78104227a90
1776243815411x739667639709990900,Tech Talent Sourcer,2026-04-15,71defd22-cc1d-4854-a767-4fa584eb64ff
1777294001849x171347644691513340,Talent Acquisition Partner (UK),2026-04-27,97cfea87-5979-4767-a3de-1a9bf60117d1
1779368342428x874602515472056300,Senior TA (High Volume) - Dutch,2026-05-21,429cba94-0b76-492c-b9df-dd77a4ff3635
1779975417411x145223316330774530,Senior Talent Aquisition Partner (Polish speaker) - Immediate Start,2026-05-28,bfaa2f18-ff2f-4202-b50d-3dd92915830e
1780994896815x966398833240834000,Generalist TA (French speaker),2026-06-09,0b6def41-cfca-43f1-9299-4867ef0be4db
