JOB_ID,REASON,COUNT
1768306565902x724842074782040000,Timing,35
1768306565902x724842074782040000,Type of contract,11
1768306565902x724842074782040000,Position,10
1768306565902x724842074782040000,Skills,8
1768306565902x724842074782040000,Other,8
1768306565902x724842074782040000,Salary,8
1768306565902x724842074782040000,Language,2
1768306565902x724842074782040000,Culture Fit,2
1768306565902x724842074782040000,Industry,1
1768306734822x675449727333433300,Other,14
1768306734822x675449727333433300,Timing,11
1768306734822x675449727333433300,Skills,11
1768306734822x675449727333433300,Position,8
1768306734822x675449727333433300,Type of contract,7
1768306734822x675449727333433300,Dropped out,2
1768306734822x675449727333433300,Visa,1
1768306734822x675449727333433300,Salary,1
1768306734822x675449727333433300,Industry,1
1768306734822x675449727333433300,Position closed,1
1769763000086x563212577333575700,Timing,15
1769763000086x563212577333575700,Type of contract,10
1769763000086x563212577333575700,Skills,3
1769763000086x563212577333575700,Salary,2
1769763000086x563212577333575700,Position,2
1769763000086x563212577333575700,Seniority,1
1770201984452x484427760080519200,Timing,20
1770201984452x484427760080519200,Recruiter Rejected,13
1770201984452x484427760080519200,Type of contract,4
1770201984452x484427760080519200,Language,3
1770201984452x484427760080519200,Do not contact again,1
1770201984452x484427760080519200,Position,1
1770201984452x484427760080519200,Parental leave,1
1770201984452x484427760080519200,Salary,1
1770201984452x484427760080519200,Other,1
1770631916672x291420469021638660,Job Requirements Changed,97
1770631916672x291420469021638660,Timing,14
1770631916672x291420469021638660,Position closed,13
1770631916672x291420469021638660,Skills,5
1770631916672x291420469021638660,Seniority,3
1770631916672x291420469021638660,Culture Fit,3
1770631916672x291420469021638660,Language,2
1770631916672x291420469021638660,Position,2
1770631916672x291420469021638660,Type of contract,1
1770631916672x291420469021638660,Salary,1
1770631916672x291420469021638660,Parental leave,1
1770631916672x291420469021638660,Location,1
1770728747086x464603093874769900,Position closed,182
1770728747086x464603093874769900,Timing,19
1770728747086x464603093874769900,Salary,19
1770728747086x464603093874769900,Skills,11
1770728747086x464603093874769900,Culture Fit,8
1770728747086x464603093874769900,Dropped out,3
1770728747086x464603093874769900,Hiring Manager Rejected,2
1770728747086x464603093874769900,Unresponsive,2
1770728747086x464603093874769900,Type of contract,2
1770728747086x464603093874769900,Other,2
1770728747086x464603093874769900,Seniority,1
1770728747086x464603093874769900,Requalified,1
1771257786943x368258027107123200,Timing,36
1771257786943x368258027107123200,Type of contract,9
1771257786943x368258027107123200,Language,4
1771257786943x368258027107123200,Salary,3
1771257786943x368258027107123200,Position,2
1771257786943x368258027107123200,Other,2
1771257786943x368258027107123200,Visa,1
1771257786943x368258027107123200,Skills,1
1771257786943x368258027107123200,Unresponsive,1
1771257786943x368258027107123200,Parental leave,1
1771584578545x240061323429806080,Skills,1
1771584578545x240061323429806080,Other,1
1774438158210x293659973868847100,Type of contract,2
1774438158210x293659973868847100,Timing,1
1774438158210x293659973868847100,Position,1
1774613979789x325982928044294140,Timing,13
1774613979789x325982928044294140,Position closed,8
1774613979789x325982928044294140,Other,7
1774613979789x325982928044294140,Type of contract,2
1774613979789x325982928044294140,Skills,2
1774613979789x325982928044294140,Position,1
1776243815411x739667639709990900,Skills,25
1776243815411x739667639709990900,Timing,22
1776243815411x739667639709990900,Type of contract,19
1776243815411x739667639709990900,Other,8
1776243815411x739667639709990900,Position,2
1776243815411x739667639709990900,Requalified,1
1777294001849x171347644691513340,Timing,1
