ISO_YEAR,ISO_WEEK,CONTACTED,POS_RESPONSE,REC_SCREENS,ACTUAL_SCREENS,ATS,ONSITE,CULTURE,CALL_W_CLIENT,OFFERED,HIRED
2026,5,2,2,2,2,1,0,0,0,0,0
2026,6,2,1,2,2,0,0,0,0,0,0
2026,7,155,18,11,10,0,0,0,0,0,0
2026,8,161,14,10,8,2,2,0,0,0,0
2026,9,162,12,9,0,0,0,0,0,0,0
2026,10,34,26,16,3,5,3,3,2,0,0
2026,11,31,1,1,0,0,0,0,0,0,0
2026,13,78,8,7,5,0,0,0,0,0,0
2026,14,118,46,28,3,1,0,0,0,0,0
2026,15,0,6,4,0,0,0,0,0,0,0
2026,16,196,53,20,5,1,0,0,0,0,0
2026,17,180,79,54,20,5,0,0,0,0,0
2026,18,77,10,8,8,2,0,0,0,0,0
