job_title,client,date_opened,days_open,external_recruiter
Support Team Lead,Wolt,2023-09-17,948,False
Grocery Associate - Nis,Wolt,2024-04-09,743,False
Area Sales Rep - Nord,Kranus Health,2024-10-09,560,True
English and Georgian Speaking Support Associate,Wolt,2024-10-15,554,False
(Mia) Senior PM - Public Sector,Aleph Alpha,2024-10-17,552,False
"Support Associate- Almaty, Kazakhstan",Wolt,2024-10-22,547,False
Support Shift Lead - Belgrade,Wolt,2024-11-26,512,False
Support Associate GRC/ Alexandra,Wolt,2024-11-26,512,False
Grocery Associate - Maribor,Wolt,2024-12-17,491,False
Support Associate - Skopje,Wolt,2024-12-20,488,False
TEST MK 2025,Tribe.xyz,2025-01-03,474,False
Fullstack Engineer (Sequence),Enam,2025-01-15,462,False
Fullstack Engineer,Enam,2025-01-15,462,False
Support Associate - Maribor,Wolt,2025-01-20,457,False
Alexandra_GA_SKG,Wolt,2025-01-30,447,False
Content Specialist Serbia,Wolt,2025-02-20,426,False
Content Specilaist Slovenia,Wolt,2025-02-20,426,False
Quality Development Specialist - Slovenia,Wolt,2025-02-20,426,False
Quality Development Specialist - Serbia,Wolt,2025-02-20,426,False
Support Associate Maribor,Wolt,2025-02-20,426,False
GA-Pata,Wolt,2025-03-14,404,False
Regional Training Specialist,Wolt,2025-03-14,404,False
Senior Backend Engineer,Parloa,2025-03-19,399,True
"GA - Crete, Heraklion",Wolt,2025-03-20,398,False
Area Manager,Glovo,2025-03-28,390,False
Store Manager,Glovo,2025-03-31,387,False
Account Manager Kosovo (GEO),Wolt,2025-03-31,387,False
Growth & Marketing Lead - Nigeria,Glovo,2025-03-31,387,False
Regional Content Lead,Glovo,2025-03-31,387,False
GA-Cyprus,Wolt,2025-04-04,383,False
Sales Executive- Kenya,Glovo,2025-04-11,376,False
Account Manager Tunisia,Glovo,2025-04-11,376,False
Product Design Manager,Taxfix,2025-04-11,376,False
Growth Analyst Tunisia,Glovo,2025-04-15,372,False
Country Controller,Wolt,2025-04-17,370,False
Senior Category Buyer,Glovo,2025-04-24,363,False
Senior Account Manager,Glovo,2025-04-24,363,False
GA-Malta,Wolt,2025-04-25,362,False
Junior Data Scientist | BizOps,Wolt,2025-05-01,356,False
Senior Account Executive (m/w/d),desk.ly,2025-05-05,352,False
Account Manager Ivory Coast,Glovo,2025-05-06,351,False
Marketing and Growth Lead,Glovo,2025-05-06,351,False
Operations Analyst - Tunisia,Glovo,2025-05-15,342,False
Support Associate - Sofia,Wolt,2025-05-16,341,False
"Senior IOS Engineer (i5), Rewards Team, Japan (May'25)",Wolt,2025-05-18,339,False
"Senior Backend Engineer, Rewards Team (May '25)",Wolt,2025-05-18,339,False
"Senior Data Scientist, Core Experience",Wolt,2025-05-18,339,False
"Senior Data Scientist, Mx Selection",Wolt,2025-05-19,338,False
Category Management Kenya,Glovo,2025-06-05,321,False
GA-Athens-Alexandra,Wolt,2025-06-05,321,False
Sr Sales Executive Tunisia,Glovo,2025-06-13,313,False
Sales Executive Longtail - Portugal,Glovo,2025-06-13,313,True
Head of Region - Sevilla - Spain,Glovo,2025-06-16,310,True
Sales Candidates- Assessment Day,Glovo,2025-06-17,309,True
Marousi-GA-Alexandra,Wolt,2025-06-17,309,False
UI/UX Product Designer (m/w/d),desk.ly,2025-06-18,308,False
Retail Account Manager Morocco,Glovo,2025-06-19,307,False
Glyfada-GA-Alexandra,Wolt,2025-06-20,306,False
Health and Safety Analyst Barcelona,Glovo,2025-06-23,303,False
Hiring Managers we worked with,Tribe.xyz,2025-06-25,301,False
Akexandra-neo kosmo-GA,Wolt,2025-06-27,299,False
"Mass Account Manager - Cologne (m,f,x)",Wolt,2025-06-30,296,False
Fleet Support Specialist Internal Fleet,Glovo,2025-07-01,295,False
Sr.Labor Lawyer,Glovo,2025-07-02,294,True
Support Shift Lead Serbia,Wolt,2025-07-02,294,False
"Manager, Data Science, DEU",Wolt,2025-07-02,294,False
Labor Lawyer,Glovo,2025-07-03,293,True
Sales Executive Spain,Glovo,2025-07-07,289,True
ML Engineer,Enam,2025-07-09,287,False
"Senior Team Lead - Account Management - Cologne (m,f,x)",Wolt,2025-07-09,287,False
"Retail Sales Manager - Munich (m,f,x)",Wolt,2025-07-09,287,False
"Account Manager (Mid-Level) - Leipzig/Dresden (m,f,x)",Wolt,2025-07-09,287,False
"Account Manager (Junior Level) - Leipzig/Dresden (m,f,x)",Wolt,2025-07-09,287,False
Grocery Associate Almaty,Wolt,2025-07-10,286,False
Sales Manager Italy,Glovo,2025-07-18,278,True
Customer Support Representative,Wolt,2025-07-18,278,False
"Fullstack Engineer (i3), Storefront Team, Japan",Wolt,2025-07-20,276,False
Fullstack developer - recontacting,Enam,2025-07-22,274,False
Digital Chat Customer Support,Wolt,2025-07-22,274,False
Digital Chat Customer Support,Wolt,2025-07-22,274,False
Sr Sales Executive,Glovo,2025-07-23,273,True
Senior Growth Analyst,Glovo,2025-07-23,273,True
Sr Retail Account Manager Tunisia,Glovo,2025-07-28,268,False
"Sr Associate, Finance & Strategy, North",Wolt,2025-08-01,264,False
Salesforce Project Manger,Glovo,2025-08-08,257,True
Account Manager Lisbon,Glovo,2025-08-13,252,True
Support Assosiate SSC Hungary,Wolt,2025-08-15,250,False
Finance Manager,Glovo,2025-08-19,246,True
Grocery Associate Latvia,Wolt,2025-08-22,243,False
Grocery Associate Lithuania,Wolt,2025-08-22,243,False
CRM Engineer,Glovo,2025-08-26,239,True
Territory Sales Manager - Stuttgart,Wolt,2025-08-26,239,False
Grocery Associate Malta,Wolt,2025-08-26,239,False
Sales Executive Porto,Glovo,2025-08-27,238,True
Senior Client C++ Developer,Scorewarrior,2025-09-02,232,False
Total Rewards Lead,Glovo,2025-09-03,231,True
Senior Accountant,Parloa,2025-09-03,231,False
"Territory Sales Manager - Bayreuth (m,f,x)",Wolt,2025-09-03,231,False
"Territory Sales Manager - Bamberg (m,f,x)",Wolt,2025-09-03,231,False
AI Engineering Intern,Taxfix,2025-09-04,230,False
Lead Analyst,Glovo,2025-09-04,230,True
Lead Implementation Engineer,Parloa,2025-09-05,229,False
"Grocery Associate, Almaty, Gornyi Gigant",Wolt,2025-09-05,229,False
"Support Associate, Almaty",Wolt,2025-09-05,229,False
"Support Associate, Astana",Wolt,2025-09-05,229,False
"Grocery Associate, Almaty, Shevchenko",Wolt,2025-09-05,229,False
"Grocery Associate, Astana",Wolt,2025-09-05,229,False
Strategic Customer Success Manager,SevenRooms,2025-09-05,229,False
Customer Success Specialist,SevenRooms,2025-09-05,229,False
"Strategic Account Executive, In-Store",SevenRooms,2025-09-05,229,False
Grocery Associate - Finland,Wolt,2025-09-10,224,False
Sr Growth Analyst,Glovo,2025-09-10,224,True
Technical Support Manager,Glovo,2025-09-10,224,False
Mid Software Engineer - Backend,SevenRooms,2025-09-11,223,False
Sales Account Manager,Glovo,2025-09-11,223,True
AI Confidential,Taxfix,2025-09-12,222,False
GA Estonia,Wolt,2025-09-12,222,False
"Grocery Associate, Almaty, Mega Towers",Wolt,2025-09-12,222,False
"Entry Level Backend Engineer(i3), Japan (Sept'25)",Wolt,2025-09-14,220,False
Implementation Lead - London,Wolt,2025-09-15,219,False
Financial Controller,Wolt,2025-09-18,216,False
Support Shift Lead,Wolt,2025-09-19,215,False
Tax Manager,Wolt,2025-09-21,213,False
Principal Engineer,Parloa,2025-09-22,212,False
"CPG Partnership Manager, Germany",Wolt,2025-09-22,212,True
Senior Software Engineer - Backend,SevenRooms,2025-09-22,212,False
Senior Software Engineer - Frontend,SevenRooms,2025-09-22,212,False
Ads & Promotions Specialist Athens,Wolt,2025-09-24,210,False
Ads&Promotion Specialist Warsaw,Wolt,2025-09-25,209,False
Regional,Cohere,2025-09-26,208,False
Finance System Development Manager,Wolt,2025-09-28,206,False
Senior Finance Specialist - GL Accounting,Wolt,2025-09-28,206,False
Workplace Safety Manager - KZ,Wolt,2025-09-30,204,False
Grocery Associate Denmark (Soborg),Wolt,2025-09-30,204,False
Grocery Associate Denmark (Aarhus),Wolt,2025-09-30,204,False
Support Associate Norway,Wolt,2025-09-30,204,False
Grocery Associate Denmark (Odense),Wolt,2025-09-30,204,False
Grocery Associate Denmark (Copenhagen),Wolt,2025-09-30,204,False
Grocery Associate Denmark Youth Worker,Wolt,2025-09-30,204,False
Sr Enterprise Sales Manager Tblisi,Wolt,2025-10-02,202,False
"Launcher, UK",Eucalyptus,2025-10-03,201,False
Support Associate Iceland,Wolt,2025-10-03,201,False
Grocery Associate Denmark (Aalborg),Wolt,2025-10-03,201,False
Grocery Associate Norway (Oslo),Wolt,2025-10-03,201,False
"Assistant Country Controller, Boltics - 18 Months, FTC",Wolt,2025-10-05,199,False
Partnership Manager WfW - Azerbaijan,Wolt,2025-10-08,196,False
"Country Controller, Romania",Wolt,2025-10-09,195,False
"Grocery Associate, Volume, Lithuania",Wolt,2025-10-10,194,False
Strategic Customer Success Manager,Wolt,2025-10-10,194,False
"Country Controller, AL/KOS - 12 Months",Wolt,2025-10-10,194,False
"Grocery Associate, Volume, Estonia",Wolt,2025-10-10,194,False
"Grocery Associate, Volume, Cyprus",Wolt,2025-10-10,194,False
"Mass Account Management Executive (m,f,x) Munich",Wolt,2025-10-12,192,False
"Account Manager (2025.03914) Munchen, Germany",Wolt,2025-10-12,192,False
Territory Sales Manager - Magdeburg/Wolfsburg,Wolt,2025-10-12,192,False
Territory Sales Manager - Bayern/Munich,Wolt,2025-10-12,192,False
Territory Sales Manager - Bayreuth,Wolt,2025-10-12,192,False
Territory Sales Manager - Gera/Jena/Erfurt,Wolt,2025-10-12,192,False
"Team Lead, Account Management - West",Wolt,2025-10-12,192,False
Territory Sales Manager - Wurzburg,Wolt,2025-10-12,192,False
Territory Sales Manager - Nuremberg,Wolt,2025-10-12,192,False
Store Operations Associate Chania [Evagelina],Wolt,2025-10-13,191,False
Kotlin Backend Engineer (i4+i5) - Merchant Group,Wolt,2025-10-15,189,False
Store Operations Associate - Ampelokipoi [Evagelina],Wolt,2025-10-17,187,False
"Operations Associate, Strategy & Innovation",Wolt,2025-10-17,187,False
Berlin Founders Exec,Tribe.xyz,2025-10-21,183,False
Store Operations Associate - Neos Kosmos [Evagelina],Wolt,2025-10-23,181,False
Store Operations Associate - Pireus [Evagelina],Wolt,2025-10-23,181,False
Store Operations Associate - Thessaloniki [Evagelina],Wolt,2025-10-23,181,False
Store Operations Associate - Glyfada [Evagelina],Wolt,2025-10-24,180,False
English and Georgian Speaking SA,Wolt,2025-10-24,180,False
Store Operations Associate - Marousi [Evagelina],Wolt,2025-10-24,180,False
Engineering Manager,Parloa,2025-10-24,180,False
Senior Backend C++ Engineer (Framework),Scorewarrior,2025-10-24,180,False
Head of Procure to Pay,Wolt,2025-10-26,178,False
"Grocery Associate, Volume - Malta",Wolt,2025-10-27,177,False
"Associate Manager, Customer Success",Wolt,2025-10-28,176,False
"Grocery Associate, Volume, Latvia",Wolt,2025-10-29,175,False
Sales Manager - Uzbekistan,Wolt,2025-10-29,175,False
Country Manager (Berlin),Tribe.xyz,2025-10-30,174,False
Senior Client C++ Developer (Follow Up Project),Scorewarrior,2025-10-31,173,False
"CPG Partnerships Manager - Wolt Ads, Norway",Wolt,2025-11-03,170,True
WM Shift Lead - Athens [Evagelina],Wolt,2025-11-04,169,False
Store Operations Associate - Patra [Evagelina],Wolt,2025-11-04,169,False
Restaurant Development Manager - KZ,Wolt,2025-11-05,168,False
"Forward Deployed Engineer, DevOps - Filip",Parloa,2025-11-06,167,False
Partnership Associate,Wolt,2025-11-06,167,False
Support Associate- Geo HQ,Wolt,2025-11-11,162,False
"Support Associate, Volume, Lithuania",Wolt,2025-11-12,161,False
Merchant Services Specialist - KAZ,Wolt,2025-11-12,161,False
Store Manager - Athens,Wolt,2025-11-12,161,False
Sales manager,Nexi,2025-11-12,161,False
Store Manager - Malta,Wolt,2025-11-14,159,False
Store Operations Associate - Cholargos [Evagelina],Wolt,2025-11-17,156,False
Forward Deployed Engineer,Parloa,2025-11-17,156,False
"Forward Deployed Engineer, DevOps",Parloa,2025-11-17,156,False
Sales field manager (Swiss French part),Nexi,2025-11-17,156,False
Field Sales Manager (Swiss German part),Nexi,2025-11-17,156,False
Analytics Engineer,Doordash,2025-11-17,156,False
"Software Engineer, Proactive Security",Doordash,2025-11-17,156,False
"Software Engineer, Backend - India",Doordash,2025-11-17,156,False
Merchant Services Associate,Wolt,2025-11-18,155,False
Commercial Finance Operations Specialist - Romania,Wolt,2025-11-18,155,False
US Lead Agent Architect,Parloa,2025-11-19,154,False
Category Manager - Berlin,Wolt,2025-11-19,154,False
Field Sales Manager (Austria),Nexi,2025-11-21,152,False
German-speaking TS,Tribe: Talent Pools,2025-11-21,152,False
"Operations Associate, CA",Eucalyptus,2025-11-21,152,False
Grocery Associate Youth Worker (Sweden),Wolt,2025-11-21,152,False
Grocery Associate Trondheim (Norway),Wolt,2025-11-21,152,False
Grocery Associate Malmo (Sweden),Wolt,2025-11-21,152,False
"Manager, Data Science | BizOps, South | T6 | Germany",Wolt,2025-11-23,150,False
Senior Cross Platform Engineer | Kotlin/Swift | Japan,Wolt,2025-11-23,150,False
Head of Technical Program Management (TPM) - Agentic AI Services,Parloa,2025-11-24,149,False
Technical Project Manager - Agentic AI Deployments,Parloa,2025-11-24,149,False
Store Operations Associate - Heraklion (Crete) [Evagelina],Wolt,2025-11-24,149,False
