client,job_title,date_opened,days_open,candidates_active_90d,candidates_moved_90d,last_event,external_recruiter
Wolt,Grocery Associate - Nis,2024-04-09,743,1,0,2026-04-22,False
Wolt,English and Georgian Speaking Support Associate,2024-10-15,554,27,27,2026-03-12,False
Enam,Fullstack Engineer (Sequence),2025-01-15,462,53,30,2026-04-22,False
Enam,Fullstack Engineer,2025-01-15,462,233,232,2026-04-22,False
Parloa,Senior Backend Engineer,2025-03-19,399,1,0,2026-02-11,True
Wolt,GA-Cyprus,2025-04-04,383,6,6,2026-03-20,False
Wolt,GA-Malta,2025-04-25,362,2,2,2026-03-20,False
Wolt,"Senior Backend Engineer, Rewards Team (May '25)",2025-05-18,339,1,0,2026-03-19,False
Wolt,"Senior Data Scientist, Core Experience",2025-05-18,339,11,10,2026-04-22,False
Wolt,"Sr Associate, Finance & Strategy, North",2025-08-01,264,2,1,2026-03-23,False
Wolt,Support Assosiate SSC Hungary,2025-08-15,250,1,1,2026-03-20,False
Scorewarrior,Senior Client C++ Developer,2025-09-02,232,122,115,2026-04-10,False
Wolt,"Support Associate, Astana",2025-09-05,229,5,5,2026-02-20,False
Wolt,"Support Associate, Almaty",2025-09-05,229,60,59,2026-03-13,False
SevenRooms,Mid Software Engineer - Backend,2025-09-11,223,1125,1118,2026-04-21,False
Wolt,Implementation Lead - London,2025-09-15,219,1,0,2026-04-16,False
Wolt,Support Shift Lead,2025-09-19,215,4,4,2026-02-27,False
Wolt,Tax Manager,2025-09-21,213,1,1,2026-02-01,False
Wolt,"CPG Partnership Manager, Germany",2025-09-22,212,1,0,2026-04-15,True
SevenRooms,Senior Software Engineer - Backend,2025-09-22,212,7,4,2026-02-03,False
Parloa,Principal Engineer,2025-09-22,212,552,442,2026-04-20,False
Cohere,Regional,2025-09-26,208,1,0,2026-02-19,False
Wolt,Senior Finance Specialist - GL Accounting,2025-09-28,206,1,1,2026-02-01,False
Wolt,Grocery Associate Denmark (Soborg),2025-09-30,204,2,2,2026-02-16,False
Wolt,Support Associate Norway,2025-09-30,204,16,16,2026-03-06,False
Wolt,Grocery Associate Denmark Youth Worker,2025-09-30,204,17,17,2026-03-19,False
Wolt,Grocery Associate Denmark (Aarhus),2025-09-30,204,4,4,2026-02-27,False
Wolt,Grocery Associate Denmark (Copenhagen),2025-09-30,204,30,30,2026-03-19,False
Wolt,Grocery Associate Denmark (Odense),2025-09-30,204,7,6,2026-04-15,False
Wolt,Workplace Safety Manager - KZ,2025-09-30,204,1,0,2026-04-22,False
Wolt,Grocery Associate Norway (Oslo),2025-10-03,201,8,8,2026-03-19,False
