event_id,candidate_id,job_id,datetime_created,event_type,moved_to_stage,who_created_event,archived
1787837370707x561635452553288960,1787837327734x751180461503350400,1779970626328x834670130159681500,2026-08-27 13:29:26.309,Moved to stage,(blank),Rodrigo Gomes,False
1787837370462x117495355853487920,1787837327734x751180461503350400,1779970626328x834670130159681500,2026-08-27 13:29:26.309,Moved to stage,(blank),Rodrigo Gomes,False
1787837370099x186153736839621570,1787837327734x751180461503350400,1779970626328x834670130159681500,2026-08-27 13:29:26.309,Moved to stage,Hired,Rodrigo Gomes,False
1787837368397x239411087364253860,1787837327734x751180461503350400,1779970626328x834670130159681500,2026-08-27 13:29:26.309,Moved to stage,Moved to ATS,Rodrigo Gomes,False
1787837369484x208498028944569920,1787837327734x751180461503350400,1779970626328x834670130159681500,2026-08-27 13:29:26.309,Moved to stage,Offer,Rodrigo Gomes,False
1787837368953x319305957180575640,1787837327734x751180461503350400,1779970626328x834670130159681500,2026-08-27 13:29:26.309,Moved to stage,Onsite,Rodrigo Gomes,False
1787837366659x986798863069692700,1787837327734x751180461503350400,1779970626328x834670130159681500,2026-08-27 13:29:26.309,Moved to stage,Positive response,Rodrigo Gomes,False
1787837367610x230039951657559070,1787837327734x751180461503350400,1779970626328x834670130159681500,2026-08-27 13:29:26.309,Moved to stage,Recruiter Screen,Rodrigo Gomes,False
1787836196800x310161899579120200,1787836174477x463387305281783200,1779970626328x834670130159681500,2026-08-27 13:09:54.402,Moved to stage,(blank),Rodrigo Gomes,False
1787836197118x429578418389910960,1787836174477x463387305281783200,1779970626328x834670130159681500,2026-08-27 13:09:54.402,Moved to stage,(blank),Rodrigo Gomes,False
1787836196494x405884215694598500,1787836174477x463387305281783200,1779970626328x834670130159681500,2026-08-27 13:09:54.402,Moved to stage,Hired,Rodrigo Gomes,False
1787836195454x809727232928602800,1787836174477x463387305281783200,1779970626328x834670130159681500,2026-08-27 13:09:54.402,Moved to stage,Moved to ATS,Rodrigo Gomes,False
1787836196172x768843127859828600,1787836174477x463387305281783200,1779970626328x834670130159681500,2026-08-27 13:09:54.402,Moved to stage,Offer,Rodrigo Gomes,False
1787836195847x706243284137340500,1787836174477x463387305281783200,1779970626328x834670130159681500,2026-08-27 13:09:54.402,Moved to stage,Onsite,Rodrigo Gomes,False
1787836194684x731816014086537300,1787836174477x463387305281783200,1779970626328x834670130159681500,2026-08-27 13:09:54.402,Moved to stage,Positive response,Rodrigo Gomes,False
1787836195021x841124057961244500,1787836174477x463387305281783200,1779970626328x834670130159681500,2026-08-27 13:09:54.402,Moved to stage,Recruiter Screen,Rodrigo Gomes,False
1787834318092x139036188836633380,1787834312602x836600263304623600,1779970626328x834670130159681500,2026-08-27 12:38:35.567,Moved to stage,(blank),Rodrigo Gomes,False
1787834318422x451284326069440100,1787834312602x836600263304623600,1779970626328x834670130159681500,2026-08-27 12:38:35.567,Moved to stage,(blank),Rodrigo Gomes,False
1787834317834x317995573289522750,1787834312602x836600263304623600,1779970626328x834670130159681500,2026-08-27 12:38:35.567,Moved to stage,Hired,Rodrigo Gomes,False
1787834316661x710827419880172900,1787834312602x836600263304623600,1779970626328x834670130159681500,2026-08-27 12:38:35.567,Moved to stage,Moved to ATS,Rodrigo Gomes,False
1787834317504x541268705521057200,1787834312602x836600263304623600,1779970626328x834670130159681500,2026-08-27 12:38:35.567,Moved to stage,Offer,Rodrigo Gomes,False
1787834317092x827822437503932900,1787834312602x836600263304623600,1779970626328x834670130159681500,2026-08-27 12:38:35.567,Moved to stage,Onsite,Rodrigo Gomes,False
1787834316014x286351854449444320,1787834312602x836600263304623600,1779970626328x834670130159681500,2026-08-27 12:38:35.567,Moved to stage,Positive response,Rodrigo Gomes,False
1787834316425x487702669754316540,1787834312602x836600263304623600,1779970626328x834670130159681500,2026-08-27 12:38:35.567,Moved to stage,Recruiter Screen,Rodrigo Gomes,False
1787834229661x255776596259020160,1787834221925x489626597257220900,1779970626328x834670130159681500,2026-08-27 12:37:06.319,Moved to stage,(blank),Rodrigo Gomes,False
1787834229074x952895353836981400,1787834221925x489626597257220900,1779970626328x834670130159681500,2026-08-27 12:37:06.319,Moved to stage,(blank),Rodrigo Gomes,False
1787834228531x850143557319784600,1787834221925x489626597257220900,1779970626328x834670130159681500,2026-08-27 12:37:06.319,Moved to stage,Hired,Rodrigo Gomes,False
1787834227587x739210298978413300,1787834221925x489626597257220900,1779970626328x834670130159681500,2026-08-27 12:37:06.319,Moved to stage,Moved to ATS,Rodrigo Gomes,False
1787834228227x400289721942062300,1787834221925x489626597257220900,1779970626328x834670130159681500,2026-08-27 12:37:06.319,Moved to stage,Offer,Rodrigo Gomes,False
1787834227892x660620208477681800,1787834221925x489626597257220900,1779970626328x834670130159681500,2026-08-27 12:37:06.319,Moved to stage,Onsite,Rodrigo Gomes,False
1787834226667x437625448611589400,1787834221925x489626597257220900,1779970626328x834670130159681500,2026-08-27 12:37:06.319,Moved to stage,Positive response,Rodrigo Gomes,False
1787834227229x600133109525752400,1787834221925x489626597257220900,1779970626328x834670130159681500,2026-08-27 12:37:06.319,Moved to stage,Recruiter Screen,Rodrigo Gomes,False
1787833922103x291601481367119300,1787833916642x973313160779512200,1779970626328x834670130159681500,2026-08-27 12:31:59.759,Moved to stage,(blank),Rodrigo Gomes,False
1787833922367x392296688096704260,1787833916642x973313160779512200,1779970626328x834670130159681500,2026-08-27 12:31:59.759,Moved to stage,(blank),Rodrigo Gomes,False
1787833921745x354984167161139800,1787833916642x973313160779512200,1779970626328x834670130159681500,2026-08-27 12:31:59.759,Moved to stage,Hired,Rodrigo Gomes,False
1787833920819x117454737621142560,1787833916642x973313160779512200,1779970626328x834670130159681500,2026-08-27 12:31:59.759,Moved to stage,Moved to ATS,Rodrigo Gomes,False
1787833921492x532456854493805060,1787833916642x973313160779512200,1779970626328x834670130159681500,2026-08-27 12:31:59.759,Moved to stage,Offer,Rodrigo Gomes,False
1787833921224x849925545030940400,1787833916642x973313160779512200,1779970626328x834670130159681500,2026-08-27 12:31:59.759,Moved to stage,Onsite,Rodrigo Gomes,False
1787833920107x846057465766170400,1787833916642x973313160779512200,1779970626328x834670130159681500,2026-08-27 12:31:59.759,Moved to stage,Positive response,Rodrigo Gomes,False
1787833920507x455250010078665600,1787833916642x973313160779512200,1779970626328x834670130159681500,2026-08-27 12:31:59.759,Moved to stage,Recruiter Screen,Rodrigo Gomes,False
1787833347658x746833857423861500,1787833341358x933347945498239000,1779970626328x834670130159681500,2026-08-27 12:22:24.596,Moved to stage,(blank),Rodrigo Gomes,False
1787833347300x542633090977897800,1787833341358x933347945498239000,1779970626328x834670130159681500,2026-08-27 12:22:24.596,Moved to stage,(blank),Rodrigo Gomes,False
1787833346943x366389118119863100,1787833341358x933347945498239000,1779970626328x834670130159681500,2026-08-27 12:22:24.596,Moved to stage,Hired,Rodrigo Gomes,False
1787833345781x863352906972278800,1787833341358x933347945498239000,1779970626328x834670130159681500,2026-08-27 12:22:24.596,Moved to stage,Moved to ATS,Rodrigo Gomes,False
1787833346426x152698999037648160,1787833341358x933347945498239000,1779970626328x834670130159681500,2026-08-27 12:22:24.596,Moved to stage,Offer,Rodrigo Gomes,False
1787833346111x821187367319108100,1787833341358x933347945498239000,1779970626328x834670130159681500,2026-08-27 12:22:24.596,Moved to stage,Onsite,Rodrigo Gomes,False
1787833344878x939702807837949000,1787833341358x933347945498239000,1779970626328x834670130159681500,2026-08-27 12:22:24.596,Moved to stage,Positive response,Rodrigo Gomes,False
1787833345328x765697109452691700,1787833341358x933347945498239000,1779970626328x834670130159681500,2026-08-27 12:22:24.596,Moved to stage,Recruiter Screen,Rodrigo Gomes,False
1787831575875x833450290115127600,1787831564937x870007276035478000,1779970626328x834670130159681500,2026-08-27 11:52:51.599,Moved to stage,(blank),Rodrigo Gomes,False
1787831576222x998153208231560300,1787831564937x870007276035478000,1779970626328x834670130159681500,2026-08-27 11:52:51.599,Moved to stage,(blank),Rodrigo Gomes,False
1787831575536x866090565606015100,1787831564937x870007276035478000,1779970626328x834670130159681500,2026-08-27 11:52:51.599,Moved to stage,Hired,Rodrigo Gomes,False
1787831573712x104313414101100400,1787831564937x870007276035478000,1779970626328x834670130159681500,2026-08-27 11:52:51.599,Moved to stage,Moved to ATS,Rodrigo Gomes,False
1787831574823x481754892421347100,1787831564937x870007276035478000,1779970626328x834670130159681500,2026-08-27 11:52:51.599,Moved to stage,Offer,Rodrigo Gomes,False
1787831574263x484628274802289200,1787831564937x870007276035478000,1779970626328x834670130159681500,2026-08-27 11:52:51.599,Moved to stage,Onsite,Rodrigo Gomes,False
1787831572112x304227126803093400,1787831564937x870007276035478000,1779970626328x834670130159681500,2026-08-27 11:52:51.599,Moved to stage,Positive response,Rodrigo Gomes,False
1787831572914x603308622111909800,1787831564937x870007276035478000,1779970626328x834670130159681500,2026-08-27 11:52:51.599,Moved to stage,Recruiter Screen,Rodrigo Gomes,False
1787831124986x178232557462170140,1787831104154x211854897918977150,1779970626328x834670130159681500,2026-08-27 11:45:21.534,Moved to stage,(blank),Rodrigo Gomes,False
1787831125696x221569508641511700,1787831104154x211854897918977150,1779970626328x834670130159681500,2026-08-27 11:45:21.534,Moved to stage,(blank),Rodrigo Gomes,False
1787831124685x179489921211531740,1787831104154x211854897918977150,1779970626328x834670130159681500,2026-08-27 11:45:21.534,Moved to stage,Hired,Rodrigo Gomes,False
1787831122640x419096432139237000,1787831104154x211854897918977150,1779970626328x834670130159681500,2026-08-27 11:45:21.534,Moved to stage,Moved to ATS,Rodrigo Gomes,False
1787831123947x548890096598964000,1787831104154x211854897918977150,1779970626328x834670130159681500,2026-08-27 11:45:21.534,Moved to stage,Offer,Rodrigo Gomes,False
1787831123040x124888398342426480,1787831104154x211854897918977150,1779970626328x834670130159681500,2026-08-27 11:45:21.534,Moved to stage,Onsite,Rodrigo Gomes,False
1787831121942x231190366347360000,1787831104154x211854897918977150,1779970626328x834670130159681500,2026-08-27 11:45:21.534,Moved to stage,Positive response,Rodrigo Gomes,False
1787831122387x119302036691989470,1787831104154x211854897918977150,1779970626328x834670130159681500,2026-08-27 11:45:21.534,Moved to stage,Recruiter Screen,Rodrigo Gomes,False
