TS,CAND,EVENT_ID,CLIENT,JOB_ID,STAGE,TYPE,BY,NOW,HIRE_DATE
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307379303x640270304456582300,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 1,
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307380579x269021376207239080,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307380272x986664921686204900,Parloa,1787138407054x335827605243035650,Moved to ATS,Offsite,Filip Nogowski,Interview 1,
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307379619x779543258856294000,Parloa,1787138407054x335827605243035650,Positive response,Positive Response,Filip Nogowski,Interview 1,
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307379958x377991891747773100,Parloa,1787138407054x335827605243035650,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315705326x757868760311402800,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 1,
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315707116x448531705464801500,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315706755x485136833138824200,Parloa,1787138407054x335827605243035650,Moved to ATS,Offsite,Filip Nogowski,Interview 1,
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315705717x524436613844726700,Parloa,1787138407054x335827605243035650,Positive response,Positive Response,Filip Nogowski,Interview 1,
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315706264x396805805792565000,Parloa,1787138407054x335827605243035650,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315752072x151602611221055330,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 1,
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315753863x767178689588764900,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315753451x949104340035051900,Parloa,1787138407054x335827605243035650,Moved to ATS,Offsite,Filip Nogowski,Interview 1,
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315752528x409308397191270800,Parloa,1787138407054x335827605243035650,Positive response,Positive Response,Filip Nogowski,Interview 1,
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315753053x190217690892773500,Parloa,1787138407054x335827605243035650,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315848053x555733225589382500,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 1,
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315850168x812557548102433200,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315849663x495993401420977000,Parloa,1787138407054x335827605243035650,Moved to ATS,Offsite,Filip Nogowski,Interview 1,
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315848429x524864276615117250,Parloa,1787138407054x335827605243035650,Positive response,Positive Response,Filip Nogowski,Interview 1,
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315849170x145318763706698800,Parloa,1787138407054x335827605243035650,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316041225x952927515082340200,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 2,
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316042539x367803246545159740,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 2,
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316042211x546719701727405040,Parloa,1787138407054x335827605243035650,Moved to ATS,Offsite,Filip Nogowski,Interview 2,
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316041590x437630112325473800,Parloa,1787138407054x335827605243035650,Positive response,Positive Response,Filip Nogowski,Interview 2,
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316041905x994909111433723900,Parloa,1787138407054x335827605243035650,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 2,
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316498529x955549812748821400,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 1,
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316500612x683777932696596200,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316499984x318197367809962560,Parloa,1787138407054x335827605243035650,Moved to ATS,Offsite,Filip Nogowski,Interview 1,
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316498961x328181155993205300,Parloa,1787138407054x335827605243035650,Positive response,Positive Response,Filip Nogowski,Interview 1,
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316499327x172193920540246300,Parloa,1787138407054x335827605243035650,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,
2026-08-21 12:50:34.404,1787316633418x365088260645978100,1787316634622x702724617552822100,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 1,
2026-08-21 12:50:34.404,1787316633418x365088260645978100,1787316636193x423888782297065860,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
