TIMESTAMP_UTC,CANDIDATE_ID,EVENT_ID,CLIENT,JOB,STAGE_WRITTEN,STAGE_TYPE,CREATED_BY,CANDIDATE_STAGE_NOW,BURST_KEY
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307379303x640270304456582300,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 1,1787307379.008000000
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307380579x269021376207239080,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787307379.008000000
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307380272x986664921686204900,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 1,1787307379.008000000
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307379619x779543258856294000,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 1,1787307379.008000000
2026-08-21 10:16:19.008,1787307378100x677233846882140200,1787307379958x377991891747773100,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,1787307379.008000000
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315705326x757868760311402800,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 1,1787315705.043000000
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315707116x448531705464801500,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787315705.043000000
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315706755x485136833138824200,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 1,1787315705.043000000
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315705717x524436613844726700,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 1,1787315705.043000000
2026-08-21 12:35:05.043,1787315703970x366294419346817000,1787315706264x396805805792565000,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,1787315705.043000000
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315752072x151602611221055330,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 1,1787315751.775000000
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315753863x767178689588764900,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787315751.775000000
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315753451x949104340035051900,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 1,1787315751.775000000
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315752528x409308397191270800,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 1,1787315751.775000000
2026-08-21 12:35:51.775,1787315750767x171685694851776500,1787315753053x190217690892773500,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,1787315751.775000000
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315848053x555733225589382500,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 1,1787315847.678000000
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315850168x812557548102433200,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787315847.678000000
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315849663x495993401420977000,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 1,1787315847.678000000
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315848429x524864276615117250,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 1,1787315847.678000000
2026-08-21 12:37:27.678,1787315846690x933031915428511700,1787315849170x145318763706698800,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,1787315847.678000000
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316041225x952927515082340200,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 2,1787316040.951000000
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316042539x367803246545159740,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 2,1787316040.951000000
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316042211x546719701727405040,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 2,1787316040.951000000
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316041590x437630112325473800,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 2,1787316040.951000000
2026-08-21 12:40:40.951,1787316040076x569690005873885200,1787316041905x994909111433723900,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 2,1787316040.951000000
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316498529x955549812748821400,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 1,1787316498.302000000
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316500612x683777932696596200,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787316498.302000000
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316499984x318197367809962560,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 1,1787316498.302000000
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316498961x328181155993205300,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 1,1787316498.302000000
2026-08-21 12:48:18.302,1787316496996x218548220381626370,1787316499327x172193920540246300,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,1787316498.302000000
2026-08-21 12:50:34.404,1787316633418x365088260645978100,1787316634622x702724617552822100,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 1,1787316634.404000000
2026-08-21 12:50:34.404,1787316633418x365088260645978100,1787316636193x423888782297065860,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787316634.404000000
2026-08-21 12:50:34.404,1787316633418x365088260645978100,1787316635851x165935904751823170,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 1,1787316634.404000000
2026-08-21 12:50:34.404,1787316633418x365088260645978100,1787316635017x156685887673468030,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 1,1787316634.404000000
2026-08-21 12:50:34.404,1787316633418x365088260645978100,1787316635542x521774510369436200,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,1787316634.404000000
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316783878x307561324098498400,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 1,1787316783.529000000
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316785543x646264729454996400,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787316783.529000000
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316784875x812432703207585900,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 1,1787316783.529000000
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316784179x939821963026083800,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 1,1787316783.529000000
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316784442x879477816270691300,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,1787316783.529000000
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316840194x673557841803502500,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 1,1787316839.909000000
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316842532x869608575917285100,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787316839.909000000
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316840267x955537927113417900,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787316839.909000000
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316841712x825381529377696300,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 1,1787316839.909000000
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316840444x668397217640780700,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 1,1787316839.909000000
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316840839x152376278335055740,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,1787316839.909000000
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316935587x764226970049317600,Parloa,Senior Engineer/Staff/Principal - Parloa,Contacted,Contacted,Filip Nogowski,Interview 1,1787316935.355000000
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316937350x179754271513963070,Parloa,Senior Engineer/Staff/Principal - Parloa,Interview 1,Interview 1,Filip Nogowski,Interview 1,1787316935.355000000
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316936964x638321265341882000,Parloa,Senior Engineer/Staff/Principal - Parloa,Moved to ATS,Offsite,Filip Nogowski,Interview 1,1787316935.355000000
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316935918x937624515215938800,Parloa,Senior Engineer/Staff/Principal - Parloa,Positive response,Positive Response,Filip Nogowski,Interview 1,1787316935.355000000
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316936475x603547820496636400,Parloa,Senior Engineer/Staff/Principal - Parloa,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,1787316935.355000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580967602x390541388531673700,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580967966x468575230471759400,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580967237x912515542861899600,AVIV ,Engineering Manager  Belgium,Hired,Hired,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580965386x422113432025295940,AVIV ,Engineering Manager  Belgium,Interview 1,Interview 1,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580966121x705875348637332600,AVIV ,Engineering Manager  Belgium,Interview 2,Interview 2,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580966457x163076190481458180,AVIV ,Engineering Manager  Belgium,Interview 3,Interview 3,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580964981x839771975769217000,AVIV ,Engineering Manager  Belgium,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580966877x642220276711732500,AVIV ,Engineering Manager  Belgium,Offer,Offer,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580963860x810447932020217400,AVIV ,Engineering Manager  Belgium,Positive response,Positive Response,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580964517x744360954857004900,AVIV ,Engineering Manager  Belgium,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:16:03.560,1787580949840x953618086345680000,1787580965730x817592963701993900,AVIV ,Engineering Manager  Belgium,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,1787580963.560000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581036293x698301342416348900,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581036802x137019243160327870,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581036024x338894490339372700,AVIV ,Engineering Manager  Belgium,Hired,Hired,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581034350x106132804168948000,AVIV ,Engineering Manager  Belgium,Interview 1,Interview 1,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581034958x898185586266718700,AVIV ,Engineering Manager  Belgium,Interview 2,Interview 2,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581035378x979795313264977500,AVIV ,Engineering Manager  Belgium,Interview 3,Interview 3,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581034051x890135366801872500,AVIV ,Engineering Manager  Belgium,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581035704x509676708854641200,AVIV ,Engineering Manager  Belgium,Offer,Offer,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581033277x961327295054719600,AVIV ,Engineering Manager  Belgium,Positive response,Positive Response,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581033721x590777676574185900,AVIV ,Engineering Manager  Belgium,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:17:13.073,1787581028612x780090377955201900,1787581034664x519199779407950800,AVIV ,Engineering Manager  Belgium,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,1787581033.073000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581271225x302114297119999500,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581271551x161387369883737380,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581270787x235923469389206270,AVIV ,Engineering Manager  Belgium,Hired,Hired,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581268475x811393146150399600,AVIV ,Engineering Manager  Belgium,Interview 1,Interview 1,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581269409x995330609550017200,AVIV ,Engineering Manager  Belgium,Interview 2,Interview 2,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581269995x412073644869421760,AVIV ,Engineering Manager  Belgium,Interview 3,Interview 3,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581268199x827337591856722700,AVIV ,Engineering Manager  Belgium,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581270447x522661784938443650,AVIV ,Engineering Manager  Belgium,Offer,Offer,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581267539x247134232422548500,AVIV ,Engineering Manager  Belgium,Positive response,Positive Response,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581267857x522323137341280900,AVIV ,Engineering Manager  Belgium,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581268757x469083666934055230,AVIV ,Engineering Manager  Belgium,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,1787581267.153000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581380886x455146137795093200,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581380537x631975177014537900,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581380217x959282124442556300,AVIV ,Engineering Manager  Belgium,Hired,Hired,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581378247x275222083787604260,AVIV ,Engineering Manager  Belgium,Interview 1,Interview 1,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581379205x439371105717510700,AVIV ,Engineering Manager  Belgium,Interview 2,Interview 2,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581379550x211337891537055400,AVIV ,Engineering Manager  Belgium,Interview 3,Interview 3,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581377924x113351643324227650,AVIV ,Engineering Manager  Belgium,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581379935x299351449495328000,AVIV ,Engineering Manager  Belgium,Offer,Offer,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581377192x407705872943098240,AVIV ,Engineering Manager  Belgium,Positive response,Positive Response,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581377501x482187790228122600,AVIV ,Engineering Manager  Belgium,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581378789x264830613285961920,AVIV ,Engineering Manager  Belgium,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,1787581376.560000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581739662x659784206094736800,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581739113x234546103852235400,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581738818x615925080889799800,AVIV ,Engineering Manager  Belgium,Hired,Hired,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581737056x445959397296091140,AVIV ,Engineering Manager  Belgium,Interview 1,Interview 1,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581737858x776231605403509900,AVIV ,Engineering Manager  Belgium,Interview 2,Interview 2,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581738265x789458058400341200,AVIV ,Engineering Manager  Belgium,Interview 3,Interview 3,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581736698x344938897194373440,AVIV ,Engineering Manager  Belgium,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581738519x631177655484811000,AVIV ,Engineering Manager  Belgium,Offer,Offer,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581736019x718455803530091440,AVIV ,Engineering Manager  Belgium,Positive response,Positive Response,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581736387x453279807240174460,AVIV ,Engineering Manager  Belgium,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:28:55.829,1787581731593x529108486744779700,1787581737350x809784064990264800,AVIV ,Engineering Manager  Belgium,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,1787581735.829000000
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581834845x745189202129263800,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581828.580000000
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581835138x287493163876582300,AVIV ,Engineering Manager  Belgium,,,Rodrigo Gomes,Sequence,1787581828.580000000
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581834379x520096186548695300,AVIV ,Engineering Manager  Belgium,Hired,Hired,Rodrigo Gomes,Sequence,1787581828.580000000
2026-08-24 14:30:28.580,1787581824550x502572725036851460,1787581831183x806491646924651900,AVIV ,Engineering Manager  Belgium,Interview 1,Interview 1,Rodrigo Gomes,Sequence,1787581828.580000000
