client,pbi_jobs,mine_jobs,pbi_t2h,mine_t2h,t2h_match,pbi_t2find,mine_t2find,pbi_t2fill,mine_t2fill
Wolt,132,136,34,34,EXACT,17,30,29,54
Parloa,6,6,62,62,EXACT,2,19,49,71
Nexi,9,9,30,30,EXACT,2,4,32,32
AVIV,8,8,23,23,EXACT,13,15,34,34
Taxfix,7,7,31,31,EXACT,36,42,67,67
Eucalyptus,6,6,23,23,EXACT,27,32,51,50
PhantomBuster,5,5,33,33,EXACT,23,23,48,48
Doordash,4,4,55,55,EXACT,20,20,61,61
Scorewarrior,4,4,45,45,EXACT,36,36,89,81
Glovo,4,4,29,29,EXACT,19,19,38,38
DualEntry,3,3,9,9,EXACT,10,16,16,16
Tribe.xyz (IR),3,3,12,12,EXACT,5,5,17,17
Grover,4,2,58,58,EXACT,43,43,137,101
Enam,2,2,64,64,EXACT,114,114,62,178
SevenRooms,2,2,24,24,EXACT,96,96,161,120
Aiven,1,1,14,14,EXACT,,,14,14
