JOB_ID,YM
1763963412443x667726169628213200,2026-03
1772106953529x151512253670883330,2026-02
1761902564608x298412660464287740,2026-01
1709801511120x673595589524193300,2026-03
1763588080692x537345876791656450,2026-01
1755271461596x914072335130296300,2026-03
1769431186075x467734053742182400,2026-03
1768378790097x202503348029227000,2026-01
1768289960370x636499826073141200,2026-02
1765457609488x262514621371121660,2026-03
1771584578545x240061323429806080,2026-03
1741960229455x896306937444958200,2026-02
1738932938860x547200228259266600,2026-02
1759476412931x196898844397797380,2026-02
1764653641333x795992159993462800,2026-01
1772113417850x781928030718656500,2026-03
1760105305787x673626877015621600,2026-03
1766504126690x389245850631798800,2026-02
1771318519228x842259851193614300,2026-02
1768567274233x744058753526530000,2026-03
1761566918893x767766274399535100,2026-01
1757084719393x337395911254605800,2026-02
1761320993371x378369833550217200,2026-01
1761727573047x620595660820316200,2026-03
1707820408012x103296194272296960,2026-02
1764857758741x664907103720177700,2026-01
1763358128612x223705266995593200,2026-03
1759235998623x431009154748645400,2026-02
1767174924550x877946111147900900,2026-02
1769169412044x823192598469935100,2026-01
1767621798607x956608697254281200,2026-01
1762530696591x511515178720296960,2026-04
1762789740435x572978907716780000,2026-01
1764742851535x106365557389393920,2026-03
1770728747086x464603093874769900,2026-03
1771937222893x768587340339740700,2026-03
1758529227458x187488425396142080,2026-04
1771404138802x813167543718510600,2026-03
1762784847632x878981653021851600,2026-02
1766491924492x548561448549482500,2026-03
1768213332956x528393423333359600,2026-03
1768805517088x858701515938857000,2026-02
1768292793387x706934213874548700,2026-01
1764343430592x781215404585123800,2026-01
1765785069309x340223413853356000,2026-01
1771385210122x422785704766472200,2026-04
1769440200921x554672371148259300,2026-03
1767174268097x543133653435940860,2026-01
1762960947781x993372702578311200,2026-02
1759476412931x196898844397797380,2026-03
1761727573047x620595660820316200,2026-01
1762163648773x813572417710981100,2026-02
1766504090036x401562054331465700,2026-03
1771251573032x103276104768028670,2026-03
1765335322683x911615628190941200,2026-02
1763570910895x864137189411520500,2026-01
1762167824784x222963017491152900,2026-02
1776162119822x238969524091617280,2026-04
1736934796460x763481035954192400,2026-03
1770801796940x425620521738043400,2026-03
1764678221103x752660447945293800,2026-01
1768290037054x321141033548382200,2026-02
1770983795307x773816109849116700,2026-04
1763999099759x617485781696512000,2026-01
1774290225510x707383052624461800,2026-03
1774519521018x502430651468480500,2026-04
1771943913516x592452979469058000,2026-04
1760281065538x811562236048310300,2026-03
1775670016632x595002397648486400,2026-04
1771251573032x103276104768028670,2026-02
1771283051167x687073118752342000,2026-03
1770206150948x892765417504505900,2026-03
1768915509500x685040792108007400,2026-04
1709198128950x687788093116252200,2026-01
1774951297567x459138412548980740,2026-04
1762163373504x698758535012417500,2026-02
1766667939306x140760695436738560,2026-03
1767021750691x422056541426024450,2026-01
1729000140791x250961570551562240,2026-01
1760105305787x673626877015621600,2026-02
1762857268529x442663948357468160,2026-02
1763358128612x223705266995593200,2026-02
1761219503998x816374397525295100,2026-01
1760105305787x673626877015621600,2026-01
1762962792238x582505008172630000,2026-01
1763643015806x970054598966378500,2026-04
1770883995206x567409820126674940,2026-03
1761210413697x212805827988291600,2026-03
1764834476041x769795967427018800,2026-02
1763735559706x695521449525641200,2026-01
1774212042998x887972193019625500,2026-03
1763976958735x708603402722213900,2026-02
1763570910895x864137189411520500,2026-02
1768922081874x442583847236796400,2026-02
1770185363333x623686331173437400,2026-03
1770651153044x376036759032823800,2026-04
1767021750691x422056541426024450,2026-03
1759238067499x436164624751525900,2026-02
1759236323615x126237561580158980,2026-02
1760105762439x342693964201852900,2026-01
1762163648773x813572417710981100,2026-01
1766140975115x369558654623416300,2026-03
1759237683949x890909181980180500,2026-02
1764775587521x211852992445677570,2026-03
1776129142247x694600564780302300,2026-04
1774023019478x818745779943112700,2026-03
