Job_ID,Role,Year,Week,Client,Headcount,Status,Outcome,
1768306565902x724842074782040000,Senior Tech TA (US East Coast Hours) - Immediate Start,2026,2026W6 (2/2-8/2),DualEntry,2,Partially Won,1 hire,
1770287224379x341584373642166300,Senior Tech TA (EMEA/CET Hours) - Immediate Start,2026,2026W6 (2/2-8/2),DualEntry,2,Ongoing,,
1768306734822x675449727333433300,TC (Global & High-Velocity) - Immediate Start,2026,2026W6 (2/2-8/2),DualEntry,1,Ongoing,,
1769763000086x563212577333575700,Talent Acquisition Partner (Internal Recruitment),2026,2026W6 (2/2-8/2),Tribe.xyz,1,Ongoing,,
1770201984452x484427760080519200,TAP (German speaker),2026,2026W6 (2/2-8/2),Nexi,1,Ongoing,,
1768306565902x724842074782040000,Senior Tech TA (US East Coast Hours) - Immediate Start,2026,2026W7 (16/2-22/2),DualEntry,2,Partially Won,"1 hire, on hold",
1770287224379x341584373642166300,Senior Tech TA (EMEA/CET Hours) - Immediate Start,2026,2026W7 (16/2-22/2),DualEntry,2,Lost,On hold,
1768306734822x675449727333433300,TC (Global & High-Velocity) - Immediate Start,2026,2026W7 (16/2-22/2),DualEntry,1,Lost,Client-closed,
1769763000086x563212577333575700,Talent Acquisition Partner (Internal Recruitment),2026,2026W7 (16/2-22/2),Tribe.xyz,1,Ongoing,1 finalist,
1770201984452x484427760080519200,TAP (German speaker),2026,2026W7 (16/2-22/2),Nexi,1,Won,Filled internally,
1770631916672x291420469021638660,DH - Executive Search Talent Partner (APAC focus),2026,2026W7 (16/2-22/2),DeliveryHero,1,Ongoing,2 finalists to present,
1770728747086x464603093874769900,Talent Acquisition Partner (Enterprise Sales) - Immediate Start,2026,2026W7 (16/2-22/2),Aiven,1,Ongoing,Mid-stages,
1771257786943x368258027107123200,Talent Sourcer (German speaker) - Feb '26,2026,2026W7 (16/2-22/2),Tribe.xyz,1,Ongoing,Just started,
1768306565902x724842074782040000,Senior Tech TA (US East Coast Hours) - Immediate Start,2026,2026W8 (16/2-22/2),DualEntry,2,Partially Won,"1 hire, client collaboration stopped",
1770287224379x341584373642166300,Senior Tech TA (EMEA/CET Hours) - Immediate Start,2026,2026W8 (16/2-22/2),DualEntry,2,Lost,Client collaboration stopped,
1768306734822x675449727333433300,TC (Global & High-Velocity) - Immediate Start,2026,2026W8 (16/2-22/2),DualEntry,1,Lost,Client stopped role,
1769763000086x563212577333575700,Talent Acquisition Partner (Internal Recruitment),2026,2026W8 (16/2-22/2),Tribe.xyz,1,Ongoing,"1 finalist rejected, converting to sprint",
1770201984452x484427760080519200,TAP (German speaker),2026,2026W8 (16/2-22/2),Nexi,1,Won,Internal fill,
1770631916672x291420469021638660,DH - Executive Search Talent Partner (APAC focus),2026,2026W8 (16/2-22/2),DeliveryHero,1,Ongoing,Several finalists to be presented,
1770728747086x464603093874769900,Talent Acquisition Partner (Enterprise Sales) - Immediate Start,2026,2026W8 (16/2-22/2),Aiven,1,Ongoing,Several finalists to be presented,
1771257786943x368258027107123200,Talent Sourcer (German speaker) - Feb '26,2026,2026W8 (16/2-22/2),Tribe.xyz,1,Ongoing,Starting sprint,
1768306565902x724842074782040000,Senior Tech TA (US East Coast Hours) - Immediate Start,2026,2026W9 (23/2-1/3),DualEntry,2,Partially Won,"1 hire, stopped client cooperation",
1770287224379x341584373642166300,Senior Tech TA (EMEA/CET Hours) - Immediate Start,2026,2026W9 (23/2-1/3),DualEntry,2,Lost,Stopped client cooperation,
1768306734822x675449727333433300,TC (Global & High-Velocity) - Immediate Start,2026,2026W9 (23/2-1/3),DualEntry,1,Lost,Stopped client cooperation,
1769763000086x563212577333575700,Talent Acquisition Partner (Internal Recruitment),2026,2026W9 (23/2-1/3),Tribe.xyz,1,Ongoing,,
1770201984452x484427760080519200,TAP (German speaker),2026,2026W9 (23/2-1/3),Nexi,1,Won,Hired internally,
1770631916672x291420469021638660,DH - Executive Search Talent Partner (APAC focus),2026,2026W9 (23/2-1/3),DeliveryHero,1,Ongoing,Presenting 2 candidates,
1770728747086x464603093874769900,Talent Acquisition Partner (Enterprise Sales) - Immediate Start,2026,2026W9 (23/2-1/3),Aiven,1,Ongoing,Presenting 2 candidates + 1 backup,
1771257786943x368258027107123200,Talent Sourcer (German speaker) - Feb '26,2026,2026W9 (23/2-1/3),Tribe.xyz,1,Ongoing,,
1771584578545x240061323429806080,Talent Acquisition Partner (German speaker) - Feb '26,2026,2026W9 (23/2-1/3),Tribe.xyz,1,Won,Hired from Talent Pool,
1769763000086x563212577333575700,Talent Acquisition Partner (Internal Recruitment),2026,2026W10 (2/3-8/3),Tribe.xyz,1,Ongoing,"Several candidates on WHO stage, 2 on TD",
1770631916672x291420469021638660,DH - Executive Search Talent Partner (APAC focus),2026,2026W10 (2/3-8/3),DeliveryHero,1,Ongoing,Pending client feedback,
1770728747086x464603093874769900,Talent Acquisition Partner (Enterprise Sales) - Immediate Start,2026,2026W10 (2/3-8/3),Aiven,1,Won,Contract signed,
1771257786943x368258027107123200,Talent Sourcer (German speaker) - Feb '26,2026,2026W10 (2/3-8/3),Tribe.xyz,1,Ongoing,Exhausted pipeline and low interest,
1771584578545x240061323429806080,Talent Acquisition Partner (German speaker) - Feb '26,2026,2026W10 (2/3-8/3),Tribe.xyz,1,Won,"Hired from TP, starting late March",
1769763000086x563212577333575700,Talent Acquisition Partner (Internal Recruitment),2026,2026W11 (9/3-15/3),Tribe.xyz,1,Ongoing,,
1770631916672x291420469021638660,DH - Executive Search Talent Partner (APAC focus),2026,2026W11 (9/3-15/3),DeliveryHero,1,Ongoing,,
1770728747086x464603093874769900,Talent Acquisition Partner (Enterprise Sales) - Immediate Start,2026,2026W11 (9/3-15/3),Aiven,1,Won,Contract signed, 
1771257786943x368258027107123200,Talent Sourcer (German speaker) - Feb '26,2026,2026W11 (9/3-15/3),Tribe.xyz,1,Ongoing,,
1769763000086x563212577333575700,Talent Acquisition Partner (Internal Recruitment),2026,2026W13 (30/3-5/4),Tribe.xyz,1,Ongoing,Sourcing & Screening,
1771257786943x368258027107123200,Talent Sourcer (German speaker) - Feb '26,2026,2026W13 (30/3-5/4),Tribe.xyz,1,Ongoing,Slowed down,
1770631916672x291420469021638660,DH - Executive Search Talent Partner (APAC focus),2026,2026W13 (30/3-5/4),DeliveryHero,1,Ongoing,No client update,
1774438158210x293659973868847100,Talent Acquisition Partner (Deeptech & Scientific Hiring) ,2026,2026W13 (30/3-5/4),Nvision,1,Partially Won,Stopped,
1774438224107x261502970568376320,(Generalist) Talent Acquisition Partner,2026,2026W13 (30/3-5/4),Nomagic,1,Lost,Stopped,
1774613979789x325982928044294140,Tech Talent Acquisition Partner (APAC),2026,2026W13 (30/3-5/4),Eucalyptus,1,Ongoing,Sourcing & Screening,
